Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Latin America & the Caribbean (IDA & IBRD countries),TLA,Forest area (% of land area),AG.LND.FRST.ZS,46.4533703526148,46.3353421973475,..
Latvia,LVA,Forest area (% of land area),AG.LND.FRST.ZS,54.8716053350474,54.933793990037,..
Least developed countries: UN classification,LDC,Forest area (% of land area),AG.LND.FRST.ZS,25.9628986736143,25.77353272164,..
Lebanon,LBN,Forest area (% of land area),AG.LND.FRST.ZS,14.069403714565,14.128054740958,..
Lesotho,LSO,Forest area (% of land area),AG.LND.FRST.ZS,1.13702239789196,1.13702239789196,..
Liberia,LBR,Forest area (% of land area),AG.LND.FRST.ZS,78.7705564784053,78.4563953488372,..
Libya,LBY,Forest area (% of land area),AG.LND.FRST.ZS,0.123327687918433,0.123327687918433,..
Liechtenstein,LIE,Forest area (% of land area),AG.LND.FRST.ZS,41.875,41.875,..
Lithuania,LTU,Forest area (% of land area),AG.LND.FRST.ZS,35.1807490816164,35.2036435371542,..
Low & middle income,LMY,Forest area (% of land area),AG.LND.FRST.ZS,27.5860586033338,27.5205734655176,..
Low income,LIC,Forest area (% of land area),AG.LND.FRST.ZS,20.1505415070865,20.0098954977383,..
Lower middle income,LMC,Forest area (% of land area),AG.LND.FRST.ZS,30.528352149507,30.4158107020663,..
Luxembourg,LUX,Forest area (% of land area),AG.LND.FRST.ZS,34.4538272103664,34.4538272103664,..
"Macao SAR, China",MAC,Forest area (% of land area),AG.LND.FRST.ZS,..,..,..
Madagascar,MDG,Forest area (% of land area),AG.LND.FRST.ZS,21.3416925060158,21.3189737023032,..
Malawi,MWI,Forest area (% of land area),AG.LND.FRST.ZS,23.3315655494272,22.8860840050912,..
Malaysia,MYS,Forest area (% of land area),AG.LND.FRST.ZS,58.0243189773246,57.871678587734,..
Maldives,MDV,Forest area (% of land area),AG.LND.FRST.ZS,2.73333333333333,2.73333333333333,..
Mali,MLI,Forest area (% of land area),AG.LND.FRST.ZS,10.896663634352,10.896663634352,..
Malta,MLT,Forest area (% of land area),AG.LND.FRST.ZS,1.4375,1.4375,..
Marshall Islands,MHL,Forest area (% of land area),AG.LND.FRST.ZS,52.2222222222222,52.2222222222222,..
Mauritania,MRT,Forest area (% of land area),AG.LND.FRST.ZS,0.298211603764432,0.292896963228874,..
Mauritius,MUS,Forest area (% of land area),AG.LND.FRST.ZS,19.4341512268403,19.4541812719079,..
Mexico,MEX,Forest area (% of land area),AG.LND.FRST.ZS,33.7273678335348,33.6616419660999,..
"Micronesia, Fed. Sts.",FSM,Forest area (% of land area),AG.LND.FRST.ZS,92.0714285714286,92.1142857142857,..
Middle East & North Africa,MEA,Forest area (% of land area),AG.LND.FRST.ZS,2.05407900674665,2.04836981958414,..
Middle East & North Africa (excluding high income),MNA,Forest area (% of land area),AG.LND.FRST.ZS,2.50110752383829,2.50500781703842,..
Middle East & North Africa (IDA & IBRD countries),TMN,Forest area (% of land area),AG.LND.FRST.ZS,2.50167876893523,2.50500781703841,..
Middle income,MIC,Forest area (% of land area),AG.LND.FRST.ZS,29.3430034961152,29.2956738999989,..
Moldova,MDA,Forest area (% of land area),AG.LND.FRST.ZS,11.7227782832878,11.7512921860748,..
Monaco,MCO,Forest area (% of land area),AG.LND.FRST.ZS,0,0,..
Mongolia,MNG,Forest area (% of land area),AG.LND.FRST.ZS,9.09894465963877,9.09823321482806,..
Montenegro,MNE,Forest area (% of land area),AG.LND.FRST.ZS,61.4869888475836,61.4869888475836,..
Morocco,MAR,Forest area (% of land area),AG.LND.FRST.ZS,12.8903354246023,12.9136878781089,..
Mozambique,MOZ,Forest area (% of land area),AG.LND.FRST.ZS,46.412173122409,46.1193311121849,..
Myanmar,MMR,Forest area (% of land area),AG.LND.FRST.ZS,43.2901466284646,42.846262276495,..
Namibia,NAM,Forest area (% of land area),AG.LND.FRST.ZS,7.97761420641572,7.89136270330017,..
Nauru,NRU,Forest area (% of land area),AG.LND.FRST.ZS,0,0,..
Nepal,NPL,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687,41.5907220090687,..
Netherlands,NLD,Forest area (% of land area),AG.LND.FRST.ZS,11.001980991981,11.0296673596674,..
New Caledonia,NCL,Forest area (% of land area),AG.LND.FRST.ZS,45.8380743982495,45.8326039387309,..
New Zealand,NZL,Forest area (% of land area),AG.LND.FRST.ZS,37.6306509437545,37.719363487904,..
Nicaragua,NIC,Forest area (% of land area),AG.LND.FRST.ZS,27.4848761841449,26.6538972910088,..
Niger,NER,Forest area (% of land area),AG.LND.FRST.ZS,0.842567300860504,0.83276229572906,..
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,23.5664876972232,23.3871888621716,..
North America,NAC,Forest area (% of land area),AG.LND.FRST.ZS,36.6124410534822,36.6103791756258,..
North Macedonia,MKD,Forest area (% of land area),AG.LND.FRST.ZS,39.7101506740682,39.7101506740682,..
Northern Mariana Islands,MNP,Forest area (% of land area),AG.LND.FRST.ZS,52.9565217391304,52.9565217391304,..
Norway,NOR,Forest area (% of land area),AG.LND.FRST.ZS,33.4581491750625,33.4795618634529,..
Not classified,INX,Forest area (% of land area),AG.LND.FRST.ZS,..,..,..
OECD members,OED,Forest area (% of land area),AG.LND.FRST.ZS,32.9271979636977,32.9471945598421,..
Oman,OMN,Forest area (% of land area),AG.LND.FRST.ZS,0.00786203554119548,0.00779030694668821,..
Other small states,OSS,Forest area (% of land area),AG.LND.FRST.ZS,29.8381015422113,29.8468718261223,..
Pacific island small states,PSS,Forest area (% of land area),AG.LND.FRST.ZS,68.5720966484801,68.6590802805924,..
Pakistan,PAK,Forest area (% of land area),AG.LND.FRST.ZS,4.7796803652968,4.72605334163553,..
Palau,PLW,Forest area (% of land area),AG.LND.FRST.ZS,90.195652173913,90.3695652173913,..
Panama,PAN,Forest area (% of land area),AG.LND.FRST.ZS,56.6517026152602,56.4978579131842,..
