Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023],Series Name_social,Series Code_social,2021 [YR2021]_social,2022 [YR2022]_social,Series Name_env,Series Code_env,2021 [YR2021]_env,2022 [YR2022]_env,Series Name_stats,Series Code_stats,2021 [YR2021]_stats,2022 [YR2022]_stats,2023 [YR2023]_stats,Country_ID,Name
Andorra,AND,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,-0.1626611766374666,-0.16333078038559654,-0.16899801601342243,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,Forest area (% of land area),AG.LND.FRST.ZS,0.10946496992501056,0.0929919241447961,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.20866155824910934,-0.2155495804330787,-0.22007834797386058,AND,Andorra
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,Forest area (% of land area),AG.LND.FRST.ZS,0.10946496992501056,0.0929919241447961,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.20866155824910934,-0.2155495804330787,-0.22007834797386058,AND,Andorra
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,Forest area (% of land area),AG.LND.FRST.ZS,0.10946496992501056,0.0929919241447961,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.20866155824910934,-0.2155495804330787,-0.22007834797386058,AND,Andorra
Andorra,AND,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,Forest area (% of land area),AG.LND.FRST.ZS,0.10946496992501056,0.0929919241447961,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.20866155824910934,-0.2155495804330787,-0.22007834797386058,AND,Andorra
Arab World,ARB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,0.5962619221865777,0.6100310763975774,0.5613333200499215,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-0.10433397242611615,-0.13706141139361594,Forest area (% of land area),AG.LND.FRST.ZS,-1.2579285435088925,-1.2823390233333254,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,ARB,Arab World
Arab World,ARB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.16315032105463814,-0.1638472416127547,-0.1694927035955783,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-0.10433397242611615,-0.13706141139361594,Forest area (% of land area),AG.LND.FRST.ZS,-1.2579285435088925,-1.2823390233333254,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,ARB,Arab World
Arab World,ARB,Trade (% of GDP),NE.TRD.GNFS.ZS,-0.16315032104636953,-0.16384724160425124,-0.16949270358734994,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-0.10433397242611615,-0.13706141139361594,Forest area (% of land area),AG.LND.FRST.ZS,-1.2579285435088925,-1.2823390233333254,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,ARB,Arab World
Arab World,ARB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,-0.16315032105305471,-0.16384724161164035,-0.16949270359424498,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-0.10433397242611615,-0.13706141139361594,Forest area (% of land area),AG.LND.FRST.ZS,-1.2579285435088925,-1.2823390233333254,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,ARB,Arab World
United Arab Emirates,ARE,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,-0.09525453149529806,-0.09350423401167189,-0.10143542529188065,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,0.9800693405761214,0.9478753199711033,Forest area (% of land area),AG.LND.FRST.ZS,-1.184568084022923,-1.2078215141452178,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.20788414087933854,-0.21482066704942185,-0.21937233719705873,ARE,United Arab Emirates
United Arab Emirates,ARE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.1631503210549312,-0.16384724161273406,-0.1694927035957691,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,0.9800693405761214,0.9478753199711033,Forest area (% of land area),AG.LND.FRST.ZS,-1.184568084022923,-1.2078215141452178,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.20788414087933854,-0.21482066704942185,-0.21937233719705873,ARE,United Arab Emirates
